,Record Date,Exchange Rate,Effective Date,Country,Currency,Country Name,Country Code,GDPGrowth,Year
157,6/30/01,16.99,20010630,Dominican Republic,Peso,Dominican Republic,214,2.459516368,2001
158,9/30/01,16.85,20010930,Dominican Republic,Peso,Dominican Republic,214,2.459516368,2001
159,12/31/01,17.02,20011231,Dominican Republic,Peso,Dominican Republic,214,2.459516368,2001
160,3/31/01,25000.0,20010331,Ecuador,Sucre,Ecuador,218,4.0156299,2001
161,6/30/01,25000.0,20010630,Ecuador,Sucre,Ecuador,218,4.0156299,2001
162,9/30/01,25000.0,20010930,Ecuador,Sucre,Ecuador,218,4.0156299,2001
163,12/31/01,25000.0,20011231,Ecuador,Sucre,Ecuador,218,4.0156299,2001
164,3/31/01,3.88,20010331,Egypt,Pound,Egypt,818,3.535251973,2001
165,6/30/01,3.886,20010630,Egypt,Pound,Egypt,818,3.535251973,2001
166,9/30/01,4.25,20010930,Egypt,Pound,Egypt,818,3.535251973,2001
167,12/31/01,4.56,20011231,Egypt,Pound,Egypt,818,3.535251973,2001
168,3/31/01,8.75,20010331,El Salvador,Colon,El Salvador,222,0.87961366,2001
169,6/30/01,8.75,20010630,El Salvador,Colon,El Salvador,222,0.87961366,2001
170,9/30/01,8.75,20010930,El Salvador,Colon,El Salvador,222,0.87961366,2001
171,12/31/01,8.75,20011231,El Salvador,Colon,El Salvador,222,0.87961366,2001
172,3/31/01,710.53,20010331,Equatorial Guinea,CFA Franc,Equatorial Guinea,226,63.37987543,2001
173,6/30/01,774.9,20010630,Equatorial Guinea,CFA Franc,Equatorial Guinea,226,63.37987543,2001
174,9/30/01,721.7,20010930,Equatorial Guinea,CFA Franc,Equatorial Guinea,226,63.37987543,2001
175,12/31/01,736.12,20011231,Equatorial Guinea,CFA Franc,Equatorial Guinea,226,63.37987543,2001
176,3/31/01,10.2,20010331,Eritrea,Nakfa,Eritrea,232,8.755435528,2001
177,6/30/01,10.2,20010630,Eritrea,Nakfa,Eritrea,232,8.755435528,2001
178,9/30/01,10.2,20010930,Eritrea,Nakfa,Eritrea,232,8.755435528,2001
179,12/31/01,13.55,20011231,Eritrea,Nakfa,Eritrea,232,8.755435528,2001
180,3/31/01,16.949,20010331,Estonia,Kroon,Estonia,233,6.003674251,2001
181,6/30/01,18.488,20010630,Estonia,Kroon,Estonia,233,6.003674251,2001
182,9/30/01,17.218,20010930,Estonia,Kroon,Estonia,233,6.003674251,2001
183,12/31/01,17.561,20011231,Estonia,Kroon,Estonia,233,6.003674251,2001
184,3/31/01,8.37,20010331,Ethiopia,Birr,Ethiopia,231,8.301306321,2001
185,6/30/01,8.44,20010630,Ethiopia,Birr,Ethiopia,231,8.301306321,2001
186,9/30/01,8.5,20010930,Ethiopia,Birr,Ethiopia,231,8.301306321,2001
187,12/31/01,8.56,20011231,Ethiopia,Birr,Ethiopia,231,8.301306321,2001
188,3/31/01,1.083,20010331,Euro Zone,Euro,Euro Zone,1,2.199224715,2001
189,6/30/01,1.181,20010630,Euro Zone,Euro,Euro Zone,1,2.199224715,2001
190,9/30/01,1.1,20010930,Euro Zone,Euro,Euro Zone,1,2.199224715,2001
191,12/31/01,1.122,20011231,Euro Zone,Euro,Euro Zone,1,2.199224715,2001
192,3/31/01,2.205,20010331,Fiji,Dollar,Fiji,242,2.000000147,2001
193,6/30/01,2.205,20010630,Fiji,Dollar,Fiji,242,2.000000147,2001
194,9/30/01,2.212,20010930,Fiji,Dollar,Fiji,242,2.000000147,2001
195,12/31/01,2.285,20011231,Fiji,Dollar,Fiji,242,2.000000147,2001
196,3/31/01,6.442,20010331,Finland,Markka,Finland,246,2.610019124,2001
197,6/30/01,1.181,20010630,Finland,Euro,Finland,246,2.610019124,2001
198,6/30/01,7.024,20010630,Finland,Markka,Finland,246,2.610019124,2001
199,9/30/01,1.1,20010930,Finland,Euro,Finland,246,2.610019124,2001
200,9/30/01,6.542,20010930,Finland,Markka,Finland,246,2.610019124,2001
201,12/31/01,1.122,20011231,Finland,Euro,Finland,246,2.610019124,2001
202,12/31/01,6.672,20011231,Finland,Markka,Finland,246,2.610019124,2001
203,3/31/01,7.105,20010331,France,Franc,France,250,1.983721419,2001
204,6/30/01,1.181,20010630,France,Euro,France,250,1.983721419,2001
205,6/30/01,7.749,20010630,France,Franc,France,250,1.983721419,2001
206,9/30/01,1.1,20010930,France,Euro,France,250,1.983721419,2001
207,9/30/01,7.217,20010930,France,Franc,France,250,1.983721419,2001
208,12/31/01,1.122,20011231,France,Euro,France,250,1.983721419,2001
209,12/31/01,7.361,20011231,France,Franc,France,250,1.983721419,2001
210,3/31/01,710.53,20010331,Gabon,CFA Franc,Gabon,266,2.135233422,2001
211,6/30/01,774.9,20010630,Gabon,CFA Franc,Gabon,266,2.135233422,2001
212,9/30/01,721.7,20010930,Gabon,CFA Franc,Gabon,266,2.135233422,2001
213,12/31/01,736.12,20011231,Gabon,CFA Franc,Gabon,266,2.135233422,2001
214,3/31/01,15.0,20010331,Gambia,Dalasi,Gambia,270,5.800000243,2001
215,6/30/01,16.0,20010630,Gambia,Dalasi,Gambia,270,5.800000243,2001
216,9/30/01,17.0,20010930,Gambia,Dalasi,Gambia,270,5.800000243,2001
217,12/31/01,18.0,20011231,Gambia,Dalasi,Gambia,270,5.800000243,2001
218,3/31/01,2.08,20010331,Georgia,Lari,Georgia,268,4.805453273,2001
219,6/30/01,2.07,20010630,Georgia,Lari,Georgia,268,4.805453273,2001
220,9/30/01,2.065,20010930,Georgia,Lari,Georgia,268,4.805453273,2001
221,12/31/01,2.07,20011231,Georgia,Lari,Georgia,268,4.805453273,2001
222,3/31/01,7095.0,20010331,Ghana,Second Cedi,Ghana,288,4.000000128,2001
223,6/30/01,7100.0,20010630,Ghana,Second Cedi,Ghana,288,4.000000128,2001
224,9/30/01,7050.0,20010930,Ghana,Second Cedi,Ghana,288,4.000000128,2001
225,12/31/01,7100.0,20011231,Ghana,Second Cedi,Ghana,288,4.000000128,2001
226,3/31/01,369.1,20010331,Greece,Drachma,Greece,300,4.131611986,2001
227,6/30/01,402.54,20010630,Greece,Drachma,Greece,300,4.131611986,2001
228,9/30/01,374.9,20010930,Greece,Drachma,Greece,300,4.131611986,2001
229,12/31/01,382.39,20011231,Greece,Drachma,Greece,300,4.131611986,2001
230,3/31/01,2.7,20010331,Grenada,E.Caribbean Dollar,Grenada,308,-2.023900041,2001
