	Record Date	Exchange Rate	Effective Date	Country	Currency	Country Name	Country Code	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015	2016	2017	2018	2019	2020	2021	2022	2023
2728	12/31/19	77.625	20191231	Afghanistan	Afghani	Afghanistan	AFG	0.0	0.0	8.832277813	1.414117981	11.22971482	5.357403251	13.82631955	3.924983822	21.39052839	14.36244147	0.426354785	12.75228709	5.600744658	2.724543364	1.45131466	2.260314201	2.647003202	1.189228128	3.911603419	-2.351100673	-20.73883937	0.0	0.0
2561	3/31/20	75.586	20200331	Afghanistan	Afghani	Afghanistan	AFG	0.0	0.0	8.832277813	1.414117981	11.22971482	5.357403251	13.82631955	3.924983822	21.39052839	14.36244147	0.426354785	12.75228709	5.600744658	2.724543364	1.45131466	2.260314201	2.647003202	1.189228128	3.911603419	-2.351100673	-20.73883937	0.0	0.0
2397	6/30/20	75.487	20200630	Afghanistan	Afghani	Afghanistan	AFG	0.0	0.0	8.832277813	1.414117981	11.22971482	5.357403251	13.82631955	3.924983822	21.39052839	14.36244147	0.426354785	12.75228709	5.600744658	2.724543364	1.45131466	2.260314201	2.647003202	1.189228128	3.911603419	-2.351100673	-20.73883937	0.0	0.0
2320	9/30/20	76.97	20200930	Afghanistan	Afghani	Afghanistan	AFG	0.0	0.0	8.832277813	1.414117981	11.22971482	5.357403251	13.82631955	3.924983822	21.39052839	14.36244147	0.426354785	12.75228709	5.600744658	2.724543364	1.45131466	2.260314201	2.647003202	1.189228128	3.911603419	-2.351100673	-20.73883937	0.0	0.0
2147	12/31/20	77.09	20201231	Afghanistan	Afghani	Afghanistan	AFG	0.0	0.0	8.832277813	1.414117981	11.22971482	5.357403251	13.82631955	3.924983822	21.39052839	14.36244147	0.426354785	12.75228709	5.600744658	2.724543364	1.45131466	2.260314201	2.647003202	1.189228128	3.911603419	-2.351100673	-20.73883937	0.0	0.0
1957	3/31/21	77.1	20210331	Afghanistan	Afghani	Afghanistan	AFG	0.0	0.0	8.832277813	1.414117981	11.22971482	5.357403251	13.82631955	3.924983822	21.39052839	14.36244147	0.426354785	12.75228709	5.600744658	2.724543364	1.45131466	2.260314201	2.647003202	1.189228128	3.911603419	-2.351100673	-20.73883937	0.0	0.0
1797	6/30/21	79.15	20210630	Afghanistan	Afghani	Afghanistan	AFG	0.0	0.0	8.832277813	1.414117981	11.22971482	5.357403251	13.82631955	3.924983822	21.39052839	14.36244147	0.426354785	12.75228709	5.600744658	2.724543364	1.45131466	2.260314201	2.647003202	1.189228128	3.911603419	-2.351100673	-20.73883937	0.0	0.0
1780	6/30/21	87.84	20210831	Afghanistan	Afghani	Afghanistan	AFG	0.0	0.0	8.832277813	1.414117981	11.22971482	5.357403251	13.82631955	3.924983822	21.39052839	14.36244147	0.426354785	12.75228709	5.600744658	2.724543364	1.45131466	2.260314201	2.647003202	1.189228128	3.911603419	-2.351100673	-20.73883937	0.0	0.0
1681	9/30/21	87.88	20210930	Afghanistan	Afghani	Afghanistan	AFG	0.0	0.0	8.832277813	1.414117981	11.22971482	5.357403251	13.82631955	3.924983822	21.39052839	14.36244147	0.426354785	12.75228709	5.600744658	2.724543364	1.45131466	2.260314201	2.647003202	1.189228128	3.911603419	-2.351100673	-20.73883937	0.0	0.0
1609	9/30/21	124.15	20211215	Afghanistan	Afghani	Afghanistan	AFG	0.0	0.0	8.832277813	1.414117981	11.22971482	5.357403251	13.82631955	3.924983822	21.39052839	14.36244147	0.426354785	12.75228709	5.600744658	2.724543364	1.45131466	2.260314201	2.647003202	1.189228128	3.911603419	-2.351100673	-20.73883937	0.0	0.0
