Record Date,Exchange Rate,Effective Date,Country,Currency,Country Name,Country Code,GDPGrowth,Year
6/30/01,7.024,20010630,Finland,Markka,Finland,FIN,2.610019124,2001
9/30/01,1.1,20010930,Finland,Euro,Finland,FIN,2.610019124,2001
9/30/01,6.542,20010930,Finland,Markka,Finland,FIN,2.610019124,2001
12/31/01,1.122,20011231,Finland,Euro,Finland,FIN,2.610019124,2001
12/31/01,6.672,20011231,Finland,Markka,Finland,FIN,2.610019124,2001
3/31/01,7.105,20010331,France,Franc,France,FRA,1.983721419,2001
6/30/01,1.181,20010630,France,Euro,France,FRA,1.983721419,2001
6/30/01,7.749,20010630,France,Franc,France,FRA,1.983721419,2001
9/30/01,1.1,20010930,France,Euro,France,FRA,1.983721419,2001
9/30/01,7.217,20010930,France,Franc,France,FRA,1.983721419,2001
12/31/01,1.122,20011231,France,Euro,France,FRA,1.983721419,2001
12/31/01,7.361,20011231,France,Franc,France,FRA,1.983721419,2001
3/31/01,710.53,20010331,Gabon,CFA Franc,Gabon,GAB,2.135233422,2001
6/30/01,774.9,20010630,Gabon,CFA Franc,Gabon,GAB,2.135233422,2001
9/30/01,721.7,20010930,Gabon,CFA Franc,Gabon,GAB,2.135233422,2001
12/31/01,736.12,20011231,Gabon,CFA Franc,Gabon,GAB,2.135233422,2001
3/31/01,15.0,20010331,Gambia,Dalasi,Gambia,GMB,5.800000243,2001
6/30/01,16.0,20010630,Gambia,Dalasi,Gambia,GMB,5.800000243,2001
9/30/01,17.0,20010930,Gambia,Dalasi,Gambia,GMB,5.800000243,2001
12/31/01,18.0,20011231,Gambia,Dalasi,Gambia,GMB,5.800000243,2001
3/31/01,2.08,20010331,Georgia,Lari,Georgia,GEO,4.805453273,2001
6/30/01,2.07,20010630,Georgia,Lari,Georgia,GEO,4.805453273,2001
9/30/01,2.065,20010930,Georgia,Lari,Georgia,GEO,4.805453273,2001
12/31/01,2.07,20011231,Georgia,Lari,Georgia,GEO,4.805453273,2001
3/31/01,7095.0,20010331,Ghana,Second Cedi,Ghana,GHA,4.000000128,2001
6/30/01,7100.0,20010630,Ghana,Second Cedi,Ghana,GHA,4.000000128,2001
9/30/01,7050.0,20010930,Ghana,Second Cedi,Ghana,GHA,4.000000128,2001
12/31/01,7100.0,20011231,Ghana,Second Cedi,Ghana,GHA,4.000000128,2001
3/31/01,369.1,20010331,Greece,Drachma,Greece,GRC,4.131611986,2001
6/30/01,402.54,20010630,Greece,Drachma,Greece,GRC,4.131611986,2001
9/30/01,374.9,20010930,Greece,Drachma,Greece,GRC,4.131611986,2001
